HT bin	QCD	TT	WJets	ST
1700	9919	190271	546	880
1900	42160	219277	484	706
2100	129081	219931	384	523
2300	227219	205326	287	314
2500	273080	179916	182	169
2700	285712	156598	101	117
2900	290565	135328	74	71
3100	293144	116584	69	54
3300	271557	99399	36	35
3500	233016	84059	12	26
3700	181521	70105	8	7
3900	130603	58476	11	4
4100	88491	47472	8	4
4300	59992	39436	6	6
4500	41276	32180	2	6
4700	34946	26316	0	2
4900	38558	20996	0	2
5100	48024	16979	0	0
5300	55511	14178	2	0
5500	56466	12223	0	0
5700	50781	10404	0	0
5900	42543	9245	0	0
6100	35270	8196	0	0
6300	30467	7311	0	0
6500	28942	6421	0	0
6700	28093	5718	0	0
6900	27310	4528	0	0
7100	24239	4184	0	0
7300	19892	3483	0	0
7500	15528	2925	0	0
7700	11208	2311	0	0
7900	8262	1975	0	0
8100	5840	1420	0	0
8300	3946	1064	0	0
8500	2758	776	0	0
8700	1983	540	0	0
8900	1609	354	0	0
9100	1098	190	0	0
9300	909	112	0	0
9500	679	79	0	0
9700	644	45	0	0
