combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.827359, allDecays: 0.913679, bg: 0.913679, avg: 0.913679
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
combine:                       Avg: 1.828292, allDecays: 0.914145, bg: 0.914145, avg: 0.914145
